term,pos,comment,translation_ar,comment_ar,translation_ast,comment_ast,translation_bg,comment_bg,translation_br,comment_br,translation_ca,comment_ca,translation_cs,comment_cs,translation_da,comment_da,translation_de,comment_de,translation_el,comment_el,translation_en_CA,comment_en_CA,translation_en_GB,comment_en_GB,translation_en_US,comment_en_US,translation_eo,comment_eo,translation_es,comment_es,translation_et,comment_et,translation_eu,comment_eu,translation_fa,comment_fa,translation_fi,comment_fi,translation_fr,comment_fr,translation_fy,comment_fy,translation_ga,comment_ga,translation_gd,comment_gd,translation_gl,comment_gl,translation_he,comment_he,translation_hi,comment_hi,translation_hr,comment_hr,translation_hu,comment_hu,translation_ia,comment_ia,translation_id,comment_id,translation_ig,comment_ig,translation_it,comment_it,translation_ja,comment_ja,translation_jv,comment_jv,translation_ka,comment_ka,translation_ko,comment_ko,translation_krl,comment_krl,translation_la,comment_la,translation_lt,comment_lt,translation_mr,comment_mr,translation_ms,comment_ms,translation_my,comment_my,translation_nb,comment_nb,translation_nds,comment_nds,translation_nl,comment_nl,translation_nn,comment_nn,translation_oc,comment_oc,translation_pl,comment_pl,translation_pt,comment_pt,translation_pt_BR,comment_pt_BR,translation_ro,comment_ro,translation_ru,comment_ru,translation_rw,comment_rw,translation_si,comment_si,translation_sk,comment_sk,translation_sl,comment_sl,translation_sr,comment_sr,translation_sv,comment_sv,translation_tr,comment_tr,translation_uk,comment_uk,translation_vi,comment_vi,translation_zh_CN,comment_zh_CN,translation_zh_TW,comment_zh_TW
multiplayer,Noun,,,,,,Мрежова игра,AUTOGENERATED - PLEASE PROOFREAD!,,,multijugador,,hra více hráčů,,Spil mod andre; Flere spillere,AUTOGENERATED - PLEASE PROOFREAD!,Mehrspieler,,,,,,multiplayer,AUTOGENERATED - PLEASE PROOFREAD!,,,,,multijugador,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,moninpeli,AUTOGENERATED - PLEASE PROOFREAD!,multijoueur,,Meardere spilers,AUTOGENERATED - PLEASE PROOFREAD!,,,Ioma-chluicheadair,AUTOGENERATED - PLEASE PROOFREAD!,Xogar en rede,AUTOGENERATED - PLEASE PROOFREAD!,,,,,Mrežna igra,AUTOGENERATED - PLEASE PROOFREAD!,többjátékos,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,multiplayer,AUTOGENERATED - PLEASE PROOFREAD!,マルチプレイ,AUTOGENERATED - PLEASE PROOFREAD!,,,,,멀티 플레이어,AUTOGENERATED - PLEASE PROOFREAD!,,,Nonnulli ludores,AUTOGENERATED - PLEASE PROOFREAD!,,,,,pemain berbilang,AUTOGENERATED - PLEASE PROOFREAD!,,,flerspiller,AUTOGENERATED - PLEASE PROOFREAD!,mennig Spelers,,multiplayer,AUTOGENERATED - PLEASE PROOFREAD!,,,,,Wielu graczy,AUTOGENERATED - PLEASE PROOFREAD!,Multi-jogador,AUTOGENERATED - PLEASE PROOFREAD!,,,,,мультиплеер,,,,,,Viacerí hráči,AUTOGENERATED - PLEASE PROOFREAD!,,,,,flera spelare,,,,Декілька гравців,AUTOGENERATED - PLEASE PROOFREAD!,,,多人游戏,AUTOGENERATED - PLEASE PROOFREAD!,,
multiplayer ,Noun,,,,,,,,,,multijugador,,hra více hráčů,,,,Mehrspieler,,,,,,,,,,,,,,,,,,,,,,multijoueur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,мультиплеер,,,,,,,,,,,,flera spelare,,,,,,,,,,,
needs %1% on average,,,,,,,,,,,necessita %1% de mitjana,,,,,,benötigt durchschnittlich %1%,,χρειάζεται %1% κατά μέσον όρο,,,,,,,,,,necesita %1% de rendimiento,,,,,,,,,,à besoin de %1% en moyenne,,,,,,,,,,,,,,,,átlagosan %1% szükséges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bruukt ut un dör %1%,,,,,,,,,,,,,,,,требуется %1% в среднем,,,,,,,,,,,,behöver i genomsnitt %1%,,,,,,,,,,,
nickname,Noun,GUI - Networking,,,,,,,,,Àlies,,,,kaldenavn,,Spielername,,παρατσούκλι,,,,,,,,,,alias,GUI - Juego en red,,,,,,,,,Surnom,,,,,,far-ainm,fhar-ainm |,,,,,,,,,becenév,,,,,,,,nickname,un altro termine inglese di uso comune,ニックネーム,,,,,,,,,,,,,,,,,,,,,,Spitznaam,,bijnaam,,,,,,,,alcunha,,,,,,имя,,,,,,prezývka,,,,,,användarnamn,,,,,,,,,,,
ore,,,,,,,,,,,mineral,,ruda,,,,Erz,,ορυκτό,,,,,,,,,,,,,,,,,,,,minerai,,,,,,,,,,,,,,,,,,,,,,,,,,鉱石,,,,,,,,,,,,,,,,,,,,,,Kluut,,erts,,,,,,,,minério,,,,,,руда,,,,,,,,,,,,malm,,,,,,,,,,,
outpost,Noun,,,,,,Преден пост,AUTOGENERATED - PLEASE PROOFREAD!,,,Post avançat,AUTOGENERATED - PLEASE PROOFREAD!,hláska,AUTOGENERATED - PLEASE PROOFREAD!,forpost,AUTOGENERATED - PLEASE PROOFREAD!,Außenposten,,προφυλακή,,,,outpost,AUTOGENERATED - PLEASE PROOFREAD!,,,,,avanzadilla,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,etuvartioasema,AUTOGENERATED - PLEASE PROOFREAD!,avant-poste,,,,,,gearastan,AUTOGENERATED - PLEASE PROOFREAD!,Posto de avanzada,AUTOGENERATED - PLEASE PROOFREAD!,מאחז,AUTOGENERATED - PLEASE PROOFREAD!,,,,,előőrs,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,avamposto,AUTOGENERATED - PLEASE PROOFREAD!,前線基地,AUTOGENERATED - PLEASE PROOFREAD!,,,,,감시 초소,AUTOGENERATED - PLEASE PROOFREAD!,,,specula,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,,,utpost,AUTOGENERATED - PLEASE PROOFREAD!,,,voorpost,AUTOGENERATED - PLEASE PROOFREAD!,utpost,AUTOGENERATED - PLEASE PROOFREAD!,,,placówka,AUTOGENERATED - PLEASE PROOFREAD!,Posto avançado,AUTOGENERATED - PLEASE PROOFREAD!,posto avançado,AUTOGENERATED - PLEASE PROOFREAD!,,,застава,AUTOGENERATED - PLEASE PROOFREAD!,,,,,pozorovateľňa,AUTOGENERATED - PLEASE PROOFREAD!,,,,,utpost,AUTOGENERATED - PLEASE PROOFREAD!,,,форпост,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,
oxen,Noun,,,,,,,,,,Bous,,,,,,Ochsen,,βόδια,,,,,,,,,,bueyes,,,,,,,,,,Boeufs,,,,,,daimh,,,,,,,,,,ökrök,,,,,,,,buoi,,,,,,,,,,,,,,,,,,,,,,,,Ossen,,,,,,,,,,bois,,,,,,волы,,,,,,,,,,,,oxar,,,,,,,,,,,
pig,,,,,,,,,,,porc,,vepř,,,,Schwein,,χοίρος,,,,,,,,,,,,,,,,,,,,cochon,,,,,,muc,,,,,,,,,,,,,,,,,,,,ブタ,,,,,,,,,,,,,,,,,,,,,,Swientje,,,,,,,,,,porco,,,,,,свинья,,,,,,,,,,,,gris,,,,,,,,,,,
pigs,,,,,,,,,,,Porcs,,vepři,,,,Schweine,,χοίροι,,,,,,,,,,,,,,,,,,,,cochons,,,,,,mucan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swientjen,,,,,,,,,,porcos,,,,,,свиньи,,,,,,,,,,,,grisar,,,,,,,,,,,
player,Noun,GUI,لا لاعب; اللاعب,AUTOGENERATED - PLEASE PROOFREAD!,xugador,AUTOGENERATED - PLEASE PROOFREAD!,играч,,,,Jugador,,hráč,AUTOGENERATED - PLEASE PROOFREAD!,spiller,,Spieler,,παίκτης,,player,AUTOGENERATED - PLEASE PROOFREAD!,player,AUTOGENERATED - PLEASE PROOFREAD!,,,ludanto,AUTOGENERATED - PLEASE PROOFREAD!,jugador,,mängija,AUTOGENERATED - PLEASE PROOFREAD!,jokalaria,AUTOGENERATED - PLEASE PROOFREAD!,بازیکن,AUTOGENERATED - PLEASE PROOFREAD!,pelaaja,AUTOGENERATED - PLEASE PROOFREAD!,joueur,,spiler,AUTOGENERATED - PLEASE PROOFREAD!,,,cluicheadair,chluicheadair | cluicheadairean | chluicheadairean,xogador,AUTOGENERATED - PLEASE PROOFREAD!,שחקן,AUTOGENERATED - PLEASE PROOFREAD!,,,igrač,,játékos,,,,pemain,AUTOGENERATED - PLEASE PROOFREAD!,,,Giocatore,,プレイヤー,,,,,,플레이어,AUTOGENERATED - PLEASE PROOFREAD!,,,ludor,,žaidėjas,AUTOGENERATED - PLEASE PROOFREAD!,,,pemain,AUTOGENERATED - PLEASE PROOFREAD!,,,spiller,,Speler,,speler,,spelar,AUTOGENERATED - PLEASE PROOFREAD!,jogaire,AUTOGENERATED - PLEASE PROOFREAD!,gracz,,jogador,,jogador,,jucători; jucător,AUTOGENERATED - PLEASE PROOFREAD!,игрок,,umukinnyi,AUTOGENERATED - PLEASE PROOFREAD!,තරගකරු,AUTOGENERATED - PLEASE PROOFREAD!,hráč,,igralec,AUTOGENERATED - PLEASE PROOFREAD!,,,spelare,,oyuncu,AUTOGENERATED - PLEASE PROOFREAD!,гравець,,Người chơi,AUTOGENERATED - PLEASE PROOFREAD!,玩家,,玩家,AUTOGENERATED - PLEASE PROOFREAD!
plot,Noun,building plot,,,,,парцел,,,,Parcel·la,,,,,,Bauplatz,,σχέδιο,,,,,,,,,,parcela,,,,,,,,,,terrain,,,,,,raon (togail),raon | raon togail | raointean | raointean togail,,,,,,,,,hely,mint épülethely,,,,,,,trama,,,,,,,,,,,,,,,,,,,,,,,,Rüümte,,grondvlak,,,,,,,,lote,,,,,,участок застройки,,,,,,parcela,,,,,,plats,,,,,,,,,,,
plots,Noun,building plots,,,,,,,,,Parcel·les,,,,,,Bauplätze,,σχέδια,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rüümte,,,,,,,,,,,,,,,,строительные площадки,,,,,,,,,,,,platser,,,,,,,,,,,
port space,Noun,,,,,,Място за пристанище,AUTOGENERATED - PLEASE PROOFREAD!,,,Zona portuària,AUTOGENERATED - PLEASE PROOFREAD!,Místo pro přístav; Místo na přístav,AUTOGENERATED - PLEASE PROOFREAD!,havneplads,AUTOGENERATED - PLEASE PROOFREAD!,Hafenbauplatz,,τόπος λιμανιού,,,,port space,AUTOGENERATED - PLEASE PROOFREAD!,,,Taŭga ejo por haveno,AUTOGENERATED - PLEASE PROOFREAD!,Espacio para puerto,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,satamapaikka; Sataman paikka,AUTOGENERATED - PLEASE PROOFREAD!,Espace portuaire,AUTOGENERATED - PLEASE PROOFREAD!,havenplak,AUTOGENERATED - PLEASE PROOFREAD!,,,raon puirt,,,,,,,,,,kikötőhely,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,Spazio per il porto,AUTOGENERATED - PLEASE PROOFREAD!,港の候補地,,,,,,항구 공간,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,,,ruang pelabuhan,AUTOGENERATED - PLEASE PROOFREAD!,,,,,Rüümte för Muden,,havenlocatie,AUTOGENERATED - PLEASE PROOFREAD!,,,,,Miejsce na port,AUTOGENERATED - PLEASE PROOFREAD!,Local para um porto; espaço portuário,AUTOGENERATED - PLEASE PROOFREAD!,,,Spațiu pentru port,AUTOGENERATED - PLEASE PROOFREAD!,Место для порта,,,,,,Prístavné miesto,AUTOGENERATED - PLEASE PROOFREAD!,,,,,hamnplats,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,,,,
produce,Verb,,,,,,произвеждане,,,,Produir,,,,producer,eller fremstil,herstellen,alternativ: produzieren,παράγω,,,,,,,,,,producir,,,,,,,,,,produire,,,,,,saothraich,shaothraich | saothrachadh | shaothrachadh | saothraichidh | dèan | dèanamh | dhèanamh | togaidh | nì | nithear,,,,,,,,,termelni,,,,,,,,Produrre,,,,,,,,,,,,,,,,,,,,,,,,produzeren,,produceren,,,,,,produkować,,produzir,,,,,,производить,,,,,,vyrobiť,,,,,,tillverka,,,,,,,,,,,
quarry,Noun,,,,,,кариера,AUTOGENERATED - PLEASE PROOFREAD!,,,pedrera,AUTOGENERATED - PLEASE PROOFREAD!,lom,AUTOGENERATED - PLEASE PROOFREAD!,stenbrud,AUTOGENERATED - PLEASE PROOFREAD!,Steinbruch,,λατομείο,,,,quarry,AUTOGENERATED - PLEASE PROOFREAD!,,,ŝtonminejo; Ŝton-minejo,AUTOGENERATED - PLEASE PROOFREAD!,cantera,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,kivilouhos,AUTOGENERATED - PLEASE PROOFREAD!,carrière,,,,,,cuaraidh,AUTOGENERATED - PLEASE PROOFREAD!,canteira,AUTOGENERATED - PLEASE PROOFREAD!,מחצבה,AUTOGENERATED - PLEASE PROOFREAD!,,,kamenolom,AUTOGENERATED - PLEASE PROOFREAD!,kőfejtő,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,cava,AUTOGENERATED - PLEASE PROOFREAD!,採石場,AUTOGENERATED - PLEASE PROOFREAD!,,,,,채석장,AUTOGENERATED - PLEASE PROOFREAD!,,,lapidicina,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,,,steinbrudd,AUTOGENERATED - PLEASE PROOFREAD!,,,steengroeve,AUTOGENERATED - PLEASE PROOFREAD!,steinbrot,AUTOGENERATED - PLEASE PROOFREAD!,,,kamieniołom,AUTOGENERATED - PLEASE PROOFREAD!,pedreira,AUTOGENERATED - PLEASE PROOFREAD!,pedreira,AUTOGENERATED - PLEASE PROOFREAD!,,,каменоломня,AUTOGENERATED - PLEASE PROOFREAD!,,,,,kameňolom,AUTOGENERATED - PLEASE PROOFREAD!,,,,,stenbrott,AUTOGENERATED - PLEASE PROOFREAD!,,,Кар’єр,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,
recycle,Verb,,,,,,,,,,,,,,,,wiederaufbereiten,alternativ: (zu)rückgewinnen,ανακυκλώνω,,,,,,,,,,,,,,,,,,,kierrättää,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verweerten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regent,Noun,,,,,,,,,,Cap,,,,,,Anführer,,,,,,,,,,,,,,,,,,,,,,régent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,섭정,,,,,,,,,,,,,,,,Baas,,,,,,,,,,,,,,,,представитель правления,,,,,,,,,,,,,,,,,,,,,,,
replay,Noun,GUI,,,,,повторение,,,,Repetició,,záznam,,genafspil,,Aufzeichnung,wiedergeben oder abspielen?,επανάληψη,,,,,,,,,,repetición,,,,,,,,,,rejouer,,,,,,ath-chluiche,,,,,,,,,,visszajátszás,,,,,,,,replay,,リプレイ,,,,,,,,,,,,,,,,,,,,,,Upteken,,herhaling,,,,,,powtórka,,repetição,,,,,,повтор,,,,,,záznam,,,,,,repris,,,,,,,,,,,
resource,Noun,game entity,,,,,ресурс,,,,Recurs,,,,ressource,,Rohstoff,,πόρος,,,,,,,,,,recurso,,,,,,,,,,ressource,,,,,,stòras,stòrais | stòrasan,,,,,,,,,nyersanyag,,,,,,,,Risorsa,,資源,,,,,,자원,,,,,,,,,,,,,,,,Mineraal,"If anyone knows a better translation, please replace",grondstoffen,,,,,,surowiec,,recourso,,,,,,ресурс,,,,,,zdroj,,,,,,resurs,,,,,,,,,,,
resources,Noun,"game entity, plural of resource",,,,,ресурси,,,,Recursos,,suroviny,,ressourcer,,Rohstoffe,,πόροι,,,,,,,,,,recursos,,,,,,,,,,ressources,,,,,,stòrasan,stòras|stòrais,,,,,,,,,nyersanyagok,,,,,,,,Risorse,,資源,(元: 資源),,,,,자원,,,,materies,-erum,,,,,,,,,ressurser,,Mineraale,,grondstoffen,,,,,,surowce,,recursos,,recursos,,,,ресурсы,,,,,,zdroje,,,,,,resurser,,,,,,,,,,,
ripe,Adjective,Immovable - size of field,,,,,,,,,madur,,,,,,,,ώριμο,,,,,,,,,,,,,,,,,,,,,,,,,,abaich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,riep,,,,,,,,,,maduro,,,,,,зрелое,,,,,,,,,,,,,,,,,,,,,,,
road,Noun,Game entity,,,,,път,,,,Camí,,cesta,,vej,,Straße,,δρόμος,,,,,,,,,,camino,,,,,,,,,,route,,,,,,rathad,rathaid | rathaidean,,,,,,,,,út,,,,,,,,strada,,道,,,,,,,,,,via,,,,,,,,,,vei,,Straat,,weg,,,,,,droga,,estrada,,estrada,,,,дорога,,,,,,cesta,,,,,,väg,,,,,,,,,,,
rocks,Noun,Game entity - stones cut by a quarry.,,,,,скали,,,,Roques,,sklály,,sten,,Felsen,,βράχια,,,,,,,,,,rocas,,,,,,,,,,Roches taillées,,,,,,carraig,charraig | carraige | carraigean | charraigean,,,,,,,,,kövek,,,,,,,,pietra,,,,,,,,,,,,,,,,,,,,,,,,Stenen,,rotsen,,,,,,skały,,rochedos,,,,,,Булыжники,"Камни, высекаемые в карьере",,,,,,,,,,,klippor,,,,,,,,,,,
rookie,Noun,singular of rookies,,,,,новобранец,,,,Novell,,zelenáč,,,,,,αρχάριος,,,,,,,,,,novato,,,,,,,,,,débutant,,,,,,,,,,,,,,,,újonc,,,,,,,,,,新兵,,,,,,,,,,,,,,,,,,,,,,Snöttbaart,,groentje,,,,,,,,recruta,m,,,,,новобранец,,,,,,nováčik,,,,,,nybörjare,,,,,,,,新手,,,
rookies,Noun,Soldiers - all tribes,,,,,новобранци,,,,Novells,,,,nybegyndere,,Neulinge,,αρχάριοι,,,,,,,,,,novatos,,,,,,,,,,débutants,,,,,,,,,,,,,,,,újoncok,,,,,,,,,,新兵,,,,,,,,,,,,,,,,,,,,,,Snöttbaarten,,groentjes,,,,,,,,recrutas,,,,,,новобранцы,,,,,,nováčikovia,,,,,,nybörjare,,,,,,,,新手们,,,
save,Verb,GUI,,,,,запазване,,,,Guardar,,,,gem,,speichern,,αποθηκεύω,,,,,,,,,,guardar,,,,,,,,,,sauvegarder,,,,,,sàbhail gu,sàbhaladh | shàbhaladh | sàbhail | shàbhail,,,,,,,,,menteni,,,,,,,,Salva,,セーブ,,,,,,,,,,,,,,,,,,,,,,sekern,,opslaan,,,,,,zapis,,guardar,,,,,,сохранить,,,,,,uložiť,,,,,,spara,,,,,,,,,,,
scouts,,,,,,,,,,,Exploradors,,Průzkumníci,,,,Kundschafter,,ανιχνευτές,,,,,,,,,,,,,,,,,,,,éclaireurs,,,,,,,,,,,,,,,,,,,,,,,,,,斥候,,,,,,,,,,,,,,,,,,,,,,Bespejers,Does this mean the scout's activity or his plural?,,,,,,,,,batedores,,,,,,разведчики,,,,,,,,,,,,spejare,,,,,,,,,,,
seafaring,Noun,,الإبحار,AUTOGENERATED - PLEASE PROOFREAD!,,,мореплаване,,,,Navegació,,mořeplavectví,,søfart,,Seefahrt,,θαλασσοπορεία,,,,seafaring,AUTOGENERATED - PLEASE PROOFREAD!,,,,,marítimo,,,,,,,,merenkäynti,AUTOGENERATED - PLEASE PROOFREAD!,Affaires marines,,,,,,seòladaireachd,,,,,,,,pomorstvo; pomorski,AUTOGENERATED - PLEASE PROOFREAD!,tengerjáró,,,,,,,,Viaggiare in mare,AUTOGENERATED - PLEASE PROOFREAD!,航海,,,,,,항해,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,,,pelayaran,AUTOGENERATED - PLEASE PROOFREAD!,,,,,Seefahrt,,zeevaart,,,,,,żeglarstwo; Z żeglarstwem,AUTOGENERATED - PLEASE PROOFREAD!,náutico,,,,,,мореплавание,,,,,,moreplavba,,,,,,sjöfarande,,,,,,,,航海,AUTOGENERATED - PLEASE PROOFREAD!,,
shared kingdom,Noun,,,,,,,,,,regne compartit (mode),,,,,,gemeinsames Königreich,,,,,,,,,,,,,,,,,,,,,,Royaume partagé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riek in Stücken,,,,,,,,,,reinado partilhado,,,,,,общее королевство,,,,,,,,,,,,delat kungarike,,,,,,,,,,,
shrine,Noun,,,,,,,,,,temple,,relikvie,,,,Schrein,,βωμός,,,,,,,,,,,,,,,,,,,,,,,,,,altair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altar,Anyone who knows a better translation please replace this,,,,,,,,,relicário,,,,,,святыня,,,,,,,,,,,,,,,,,,,,,,,
single-player,Noun,,,,,,,,,,,,,,,,Einzelspieler,,,,,,,,,,,,,,,,,,,,,,solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Een Speler,eenen Speler |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slope,Noun,,,,,,,,,,Pendent / Vessant,,sklon,,,,,,πλαγιά,,,,,,,,,,,,,,,,,,,,pente,,,,,,,,,,,,,,,,lejtő,,,,,,,,Pendenza,,,,,,,,,,,,,,,,,,,,,,,,Schüünte,,helling,,,,,,"wzniesienie, pochyłość",,,,,,,,склон,,,,,,,,,,,,sluttning,,,,,,,,,,,
small,Adjective,Immovable - size of field,,,,,,,,,jove,"referit a un camp de blat, panís... que encara ha de crèixer per poder-se després recol·lectar.",,,,,klein,,μικρό,,,,,,,,,,,,,,,,,,,,,,,,,,beag,bheag | bhig | bige | beaga | bheaga,,,,,,,,,,,,,,,,,,,小,,,,,,,,,,,,,,,,,,,,,,lütt,lütte | lütten |,,,,,,,,,pequeno,,,,,,малое,,,,,,,,,,,,,,,,,,,,,,,
sows,Verb,,,,,,,,,,,,,,,,,,σπέρνω,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,saien,,,,,,,,,,semeia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spectator,Noun,GUI,مشاهد,AUTOGENERATED - PLEASE PROOFREAD!,,,наблюдател,,,,Espectador,,pozorovatel,,tilskuer,AUTOGENERATED - PLEASE PROOFREAD!,Beobachter,,θεατής,,,,spectator,AUTOGENERATED - PLEASE PROOFREAD!,,,spektanto,AUTOGENERATED - PLEASE PROOFREAD!,espectador,GUI,pealtvaataja,AUTOGENERATED - PLEASE PROOFREAD!,,,,,sivustakatsoja,AUTOGENERATED - PLEASE PROOFREAD!,spectateur,,taskôger,AUTOGENERATED - PLEASE PROOFREAD!,,,amharc,fir. gin. ┐ iol. -airc,,,,,,,gledatelj,AUTOGENERATED - PLEASE PROOFREAD!,néző,,,,,,,,Spettatore,,観客,AUTOGENERATED - PLEASE PROOFREAD!,,,,,관전자,AUTOGENERATED - PLEASE PROOFREAD!,,,spectator,AUTOGENERATED - PLEASE PROOFREAD!,stebėtojas,AUTOGENERATED - PLEASE PROOFREAD!,,,penonton,AUTOGENERATED - PLEASE PROOFREAD!,,,tilskuer,AUTOGENERATED - PLEASE PROOFREAD!,Tokieker,,toeschouwer,AUTOGENERATED - PLEASE PROOFREAD!,tilskodar,AUTOGENERATED - PLEASE PROOFREAD!,,,obserwator,AUTOGENERATED - PLEASE PROOFREAD!,espetador,,espectador,AUTOGENERATED - PLEASE PROOFREAD!,,,наблюдатель,,,,,,divák,,opazovalec,AUTOGENERATED - PLEASE PROOFREAD!,,,åskådare,,,,глядач,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,
starting point,Noun,Map description,,,,,,,,,Posició inicial,,startovní pozice,,,,Startpunkt,,σημείο εκκίνησης,,,,,,,,,,,,,,,,,,,,point de départ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anfangs-Position,,,,,,,,,,,,,,,,стартовая точка,,,,,,,,,,,,startpunkt,,,,,,,,,,,
starting position,Noun,Map description,,,,,,,,,Posició inicial,,,,,,Ausgangsposition,,θέση εκκίνησης,,,,,,,,,,,,,,,,,,,,position de départ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anfangs-Position,,startpositie,,,,,,,,,,,,,,стартовая позиция,,,,,,,,,,,,startposition,,,,,,,,,,,
symbol,Noun,,,,,,,,,,símbol,,,,,,Symbol,,σύμβολο,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기호,,,,,,,,,,,,,,,,Teken,,,,,,,,,,,,,,,,символ,,,,,,,,,,,,,,,,,,,,,,,
syncstream,Noun,,,,,,,,,,fluxos de sincronització,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wat is dat?,"""syncstream""",Handled as an exotic term.,,,,,strumień synchronizacji,,,,,,,,,,,,,,,,,,,,synkström,,,,,,,,,,,
tab,Noun,GUI,,,,,раздел,,,,tabulador / pestanya,,záložka/tabulátor,"klávesu je tabulátor, pokud se jedná o menu v gui je to záložka",,,Reiter,,καρτέλα,,,,,,,,,,pestaña,GUI,,,,,,,,,onglet,,,,,,taba,thaba | tabaichean | thabaichean,,,,,,,,,lapfül,,,,,,,,linguetta,,タブ,,,,,,,,,,,,,,,,,,,,,,Listenwessler,Anyone who knows a better translation please replace it,tabblad,,,,,,zakładka,,separador,,,,,,вкладка,,,,,,karta,,,,,,flik,,,,,,,,,,,
tabs,,,,,,,,,,,tabuladors / pestanyes,,záložky/tabulátory,,,,,,καρτέλες,,,,,,,,,,,,,,,,,,,,onglets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listenwesslers,,,,,,,,,,,,,,,,вкладки,,,,,,,,,,,,flikar,,,,,,,,,,,
taverns,,,,,,,,,,,Tavernes,,hospody,,værtshuse,,Tavernen,,ταβέρνες,,,,,,,,,,,,,,,,,,,,tavernes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kneipen,,,,,,,,,,tabernas,,,,,,таверны,,,,,,,,,,,,krogar,,,,,,,,,,,
team,Noun,GUI,الفريق; فريق,AUTOGENERATED - PLEASE PROOFREAD!,,,отбор,,,,Equip,,tým,,hold,,Team,,ομάδα,,,,team,,,,teamo; skipo,AUTOGENERATED - PLEASE PROOFREAD!,equipo,GUI,,,taldea,AUTOGENERATED - PLEASE PROOFREAD!,,,joukkue,AUTOGENERATED - PLEASE PROOFREAD!,équipe,,tiim,AUTOGENERATED - PLEASE PROOFREAD!,,,sgioba,sgiobaidhean|,,,,,,,tim; ekipa,AUTOGENERATED - PLEASE PROOFREAD!,csapat,,,,,,,,Squadra,,チーム,AUTOGENERATED - PLEASE PROOFREAD!,,,,,팀,AUTOGENERATED - PLEASE PROOFREAD!,,,societas,AUTOGENERATED - PLEASE PROOFREAD!,,,,,pasukan,AUTOGENERATED - PLEASE PROOFREAD!,,,lag,AUTOGENERATED - PLEASE PROOFREAD!,Klottje,,team,,lag,AUTOGENERATED - PLEASE PROOFREAD!,,,drużyna,,equipa,,time; equipe,AUTOGENERATED - PLEASE PROOFREAD!,,,команда,,,,,,tím,,,,,,lag,,takım,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,隊伍,AUTOGENERATED - PLEASE PROOFREAD!
